year,Value,Units,variable_code
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Dollars (millions)
2021,Level 4,PP114,Percentage
2021,Level 4,PP114,Percentage
2021,Level 4,PP114,Percentage
2021,Level 4,PP114,Percentage
2021,Level 4,PP114,Percentage
2021,Level 1,QQ,H01
2021,Level 1,QQ,H05
2021,Level 1,QQ,H06
2021,Level 1,QQ,H07
2021,Level 1,QQ,H08
2021,Level 1,QQ,H09
2021,Level 1,QQ,H10
2021,Level 1,QQ,H11
2021,Level 1,QQ,H12
2021,Level 1,QQ,H13
2021,Level 1,QQ,H19
2021,Level 1,QQ,H20
2021,Level 1,QQ,H21
2021,Level 1,QQ,H22
2021,Level 1,QQ,H23
2021,Level 1,QQ,H24
2021,Level 1,QQ,H25
2021,Level 1,QQ,H26
2021,Level 1,QQ,H27
2021,Level 1,QQ,H28
2021,Level 1,QQ,H29
2021,Level 1,QQ,H30
2021,Level 1,QQ,H31
2021,Level 1,QQ,H32
2021,Level 1,QQ,H33
2021,Level 1,QQ,H36
2021,Level 1,QQ,H37
2021,Level 1,QQ,H39
2021,Level 1,QQ,H40
2021,Level 1,QQ,H41
2021,Level 4,QQ111,H01
2021,Level 4,QQ111,H05
2021,Level 4,QQ111,H06
2021,Level 4,QQ111,H07
2021,Level 4,QQ111,H08
2021,Level 4,QQ111,H09
2021,Level 4,QQ111,H10
2021,Level 4,QQ111,H11
2021,Level 4,QQ111,H12
