year,Value,Units,variable_code
2021,Level 4,LL122,H29
2021,Level 4,LL122,H30
2021,Level 4,LL122,H31
2021,Level 4,LL122,H32
2021,Level 4,LL122,H33
2021,Level 4,LL122,H34
2021,Level 4,LL122,H35
2021,Level 4,LL122,H36
2021,Level 4,LL122,H37
2021,Level 4,LL122,H39
2021,Level 4,LL122,H40
2021,Level 4,LL122,H41
2021,Level 4,LL123,H01
2021,Level 4,LL123,H04
2021,Level 4,LL123,H05
2021,Level 4,LL123,H06
2021,Level 4,LL123,H07
2021,Level 4,LL123,H08
2021,Level 4,LL123,H09
2021,Level 4,LL123,H10
2021,Level 4,LL123,H11
2021,Level 4,LL123,H12
2021,Level 4,LL123,H13
2021,Level 4,LL123,H14
2021,Level 4,LL123,H19
2021,Level 4,LL123,H20
2021,Level 4,LL123,H21
2021,Level 4,LL123,H22
2021,Level 4,LL123,H23
2021,Level 4,LL123,H24
2021,Level 4,LL123,H25
2021,Level 4,LL123,H26
2021,Level 4,LL123,H27
2021,Level 4,LL123,H28
2021,Level 4,LL123,H29
2021,Level 4,LL123,H30
2021,Level 4,LL123,H31
2021,Level 4,LL123,H32
2021,Level 4,LL123,H33
2021,Level 4,LL123,H34
2021,Level 4,LL123,H35
2021,Level 4,LL123,H36
2021,Level 4,LL123,H37
2021,Level 4,LL123,H39
2021,Level 4,LL123,H40
2021,Level 4,LL123,H41
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 1,MN, Technical
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars (millions)
2021,Level 3,MN11,Dollars
2021,Level 3,MN11,Dollars
2021,Level 3,MN11,Percentage
2021,Level 3,MN11,Percentage
